heff,s
15.396823267263203,0.106
15.169217617622587,0.107
14.945508083322267,0.108
14.725942583345276,0.109
14.51050864222949,0.11
14.298971335668847,0.111
14.091493441557747,0.112
13.887488976196181,0.113
13.687117203628873,0.114
13.490885571393369,0.115
13.297938612363062,0.116
13.109021470037135,0.117
12.923183096411343,0.118
12.74036605823856,0.119
12.561130002324617,0.12
12.384973752837066,0.121
12.212122730529035,0.122
12.042403358111699,0.123
11.87537955317832,0.124
11.711054754465437,0.125
11.549933299424122,0.126
11.391336810045994,0.127
11.235833405153839,0.128
11.082863222600949,0.129
10.93225847228766,0.13
10.78412754795344,0.131
10.638839151869073,0.132
10.495765597685622,0.133
10.355358301608078,0.134
10.217134407791612,0.135
10.080993123652055,0.136
9.946959604914348,0.137
9.815474089302517,0.138
9.685944606346123,0.139
9.558829544260409,0.14
9.433741198883151,0.141
9.31049026926598,0.142
9.18904092578803,0.143
9.069825727202865,0.144
8.952470837360286,0.145
8.837062645198074,0.146
8.72370016157816,0.147
8.611963888885631,0.148
8.501820932230464,0.149
8.393361936838465,0.15
8.286921180355808,0.151
8.18197637411003,0.152
8.07892197334721,0.153
7.977452111233576,0.154
7.877396411857506,0.155
7.778727944178687,0.156
7.681602316955565,0.157
7.586149152770163,0.158
7.492004279590401,0.159
7.399531820395063,0.16
7.308392214085136,0.161
7.21849042385552,0.162
7.129802415496597,0.163
7.042401249682866,0.164
6.95649414376552,0.165
6.871733316947484,0.166
6.78840185572179,0.167
6.7063158001123,0.168
6.6253170790721905,0.169
6.54538222611154,0.17
6.466495359546742,0.171
6.389035248682682,0.172
6.3126482218475655,0.173
6.237363184142511,0.174
6.163387308102867,0.175
6.090361527350454,0.176
6.018273655402906,0.177
5.947106491574961,0.178
5.876928061132144,0.179
5.807965972467199,0.18
5.739876609829447,0.181
5.672841571247813,0.182
5.606822281989132,0.183
5.541629621383783,0.184
5.477249184939648,0.185
5.413670406607239,0.186
5.3509603876874765,0.187
5.289279278075132,0.188
5.228356895197648,0.189
5.168365874232484,0.19
5.109267094901054,0.191
5.0508877723654795,0.192
4.99321766297694,0.193
4.936243969447195,0.194
4.879961598738985,0.195
4.824702228527857,0.196
4.770105333779002,0.197
4.716249591099142,0.198
4.663299386904831,0.199
4.610976866864485,0.2
4.559274641956581,0.201
4.508180393418648,0.202
4.457687050713884,0.203
4.407933616491988,0.204
4.358932863087085,0.205
4.310502139185448,0.206
4.26281879691487,0.207
4.215788956854199,0.208
4.169301411962096,0.209
4.123348366071928,0.21
4.077921173786382,0.211
4.033013813959748,0.212
3.9887896215939835,0.213
3.9451857856419004,0.214
3.9020756571416206,0.215
3.859661014492974,0.216
3.817797811412593,0.217
3.776403646956526,0.218
3.7354735618826265,0.219
3.694998812975194,0.22
3.654973805000482,0.221
3.615468711932498,0.222
3.57651428032592,0.223
3.537989201107939,0.224
3.4999984578685273,0.225
3.4625297545760487,0.226
3.4254702900478087,0.227
3.3888145077505247,0.228
3.3525565830738,0.229
3.3166911596937187,0.23
3.2812133166783872,0.231
3.2464011700022,0.232
3.2119717984092393,0.233
3.177910699473093,0.234
3.144454442866768,0.235
3.1113534225168027,0.236
3.0786025777464143,0.237
3.04619933068086,0.238
3.014137799087049,0.239
2.9824128164418737,0.24
2.9510498631479067,0.241
2.9201831848353987,0.242
2.889634817398864,0.243
2.8594464190058373,0.244
2.8297493842693573,0.245
2.800363290122217,0.246
2.7712768050741627,0.247
2.742492386484197,0.248
2.714001887212947,0.249
2.6858023044589383,0.25
2.6578983864015444,0.251
2.630502112121763,0.252
2.6033806494624847,0.253
2.5765366892674293,0.254
2.5501854347903667,0.255
2.524099448830573,0.256
2.4982745211524895,0.257
2.472709209911174,0.258
2.447397211297819,0.259
2.4223397770269908,0.26
2.3975306896841135,0.261
2.3730582509348066,0.262
2.348897488094583,0.263
2.3249771421079277,0.264
2.30136016541269,0.265
2.2780507945718633,0.266
2.254967613744507,0.267
2.232111744682512,0.268
2.2094766501355654,0.269
2.18706157574293,0.27
2.1648656879555115,0.271
2.142883574134518,0.272
2.12124649772125,0.273
2.0998537173274,0.274
2.078665445048817,0.275
2.057793661868986,0.276
2.0371695382127832,0.277
2.0167409809810453,0.278
1.996507293826999,0.279
1.976464603659069,0.28
1.9566099281712273,0.281
1.936944955957545,0.282
1.9174643669582676,0.283
1.8982848979401692,0.284
1.8793336442766861,0.285
1.8605586563001866,0.286
1.8420733803387135,0.287
1.8238290397236774,0.288
1.8057551510241594,0.289
1.7878477865090334,0.29
1.7701049219011107,0.291
1.7525267399365472,0.292
1.7351095033603716,0.293
1.7178512271417123,0.294
1.7007903813271497,0.295
1.6839667977282655,0.296
1.667297049273418,0.297
1.6507974248957962,0.298
1.6345354669556604,0.299
1.6184204334303514,0.3
1.6024495568893877,0.301
1.5866235188520013,0.302
1.5709395781399942,0.303
1.5553950825419487,0.304
1.5399899810529343,0.305
1.524723039607047,0.306
1.5096852325219152,0.307
1.4948268100007254,0.308
1.4801010180082976,0.309
1.4655700910780367,0.31
1.4512322739539567,0.311
1.437019551158709,0.312
1.4229315559374087,0.313
1.408966946728887,0.314
1.3951243994650904,0.315
1.3814026073014958,0.316
1.367800280352323,0.317
1.354316145430463,0.318
1.3410421611992163,0.319
1.3279196645389022,0.32
1.3149097225337938,0.321
1.3020915116884972,0.322
1.2894428197160788,0.323
1.2769032559578883,0.324
1.264470689085221,0.325
1.2521443397872514,0.326
1.239922927126179,0.327
1.22780521792986,0.328
1.2157896748060681,0.329
1.2038772066594332,0.33
1.192110435589413,0.331
1.1804902347902682,0.332
1.1689684525155406,0.333
1.1575727455527172,0.334
1.146334146310793,0.335
1.1351900113171856,0.336
1.1241387818626984,0.337
1.1131789224135895,0.338
1.1023106828173774,0.339
1.0915325478491773,0.34
1.080843606717286,0.341
1.0702417605333965,0.342
1.0597371792432488,0.343
1.0494246369692268,0.344
1.039196668780095,0.345
1.0290524798082423,0.346
1.019074960344206,0.347
1.009189453477054,0.348
0.9993838062718319,0.349
0.9896588982365042,0.35
0.9800117107597883,0.351
0.9704425870063511,0.352
0.9609518378293278,0.353
0.9515365348608726,0.354
0.9421975627968979,0.355
0.9329651224033474,0.356
0.9238537277226331,0.357
0.9148146693362189,0.358
0.9058724214786655,0.359
0.8970707428349605,0.36
0.8883390009013609,0.361
0.8796759920076055,0.362
0.8710816498316498,0.363
0.8625557070348119,0.364
0.8540970468601152,0.365
0.8457045859796565,0.366
0.8373785717866389,0.367
0.8291175028439685,0.368
0.8209743771261259,0.369
0.8129296957673644,0.37
0.8049481920926617,0.371
0.7970658576990018,0.372
0.7892905856003222,0.373
0.7815755978271763,0.374
0.773920713989207,0.375
0.7663245962814375,0.376
0.758787082618831,0.377
0.7513076255214619,0.378
0.7438861740301287,0.379
0.7365212101446234,0.38
0.7292126971441294,0.381
0.7220168796141581,0.382
0.7149076660216261,0.383
0.7078525990963211,0.384
0.7008960998249087,0.385
0.6940343924973935,0.386
0.6872244754847147,0.387
0.6804661672085405,0.388
0.6737591684629307,0.389
0.6671023767407547,0.39
0.6604959609417945,0.391
0.6539388465262227,0.392
0.6474308957737108,0.393
0.6409716637929924,0.394
0.6346049801522311,0.395
0.6283201505113609,0.396
0.6220820828460863,0.397
0.6159247417442538,0.398
0.6098540433747316,0.399
0.6038282406784224,0.4
0.5978469331398206,0.401
0.5919097245554069,0.402
0.5860159632694124,0.403
0.5801657846035968,0.404
0.5743585415630956,0.405
0.5685938546532244,0.406
0.5628711030231476,0.407
0.5572121200542243,0.408
0.55162443570606,0.409
0.5460776518887518,0.41
0.5405910999981555,0.411
0.5351819390108803,0.412
0.5298121483392827,0.413
0.5244805093807307,0.414
0.5191877629205145,0.415
0.5139331498058499,0.416
0.5087163398867971,0.417
0.5035370064592439,0.418
0.49839461784676475,0.419
0.4932890654675062,0.42
0.48824001908995485,0.421
0.48328490072581176,0.422
0.47836547307613353,0.423
0.4734952772247872,0.424
0.4687119804853273,0.425
0.46396195445299215,0.426
0.45924569630866074,0.427
0.4545625489139499,0.428
0.4499129968733189,0.429
0.4452955989354382,0.43
0.44071083671322225,0.431
0.4361584797814725,0.432
0.43163781337575835,0.433
0.42715489113617433,0.434
0.4227548092417977,0.435
0.4183854049858343,0.436
0.4140541662359124,0.437
0.4098085788518742,0.438
0.40559296537441103,0.439
0.40140599772939706,0.44
0.3972478264135605,0.441
0.3931185171284938,0.442
0.38901767921596586,0.443
0.38494507802023764,0.444
0.3809008567802743,0.445
0.37688389190807137,0.446
0.3728957349063021,0.447
0.36898182806623536,0.448
0.36509444956000237,0.449
0.36123815069805837,0.45
0.3574538162903441,0.451
0.35369533057361474,0.452
0.34996222429475327,0.453
0.34625442210611895,0.454
0.3425717194211656,0.455
0.3389140357927402,0.456
0.335280924536676,0.457
0.3316723108945165,0.458
0.32808799810373496,0.459
0.3245293538783669,0.46
0.3210541251065908,0.461
0.3176021710376026,0.462
0.31418180617564817,0.463
0.31083019970638104,0.464
